"id","name","label","group","group_id","group_label","trashed"
127,"Anti-voter","Restricts Voter Access / Election Administration","-Impact",1,"Bill Impact",FALSE
130,"Neutral","Neutral","-Impact",1,"Bill Impact",FALSE
131,"Pro-voter","Improves Voter Access / Election Administration","-Impact",1,"Bill Impact",FALSE
648,"Mixed_Unclear","Mixed or Unclear","-Impact",1,"Bill Impact",FALSE
936,"Mixed_Pro-voter","","-Impact",1,"Bill Impact",TRUE
959,"Mixed_Anti-voter","mm","-Impact",1,"Bill Impact",TRUE
1025,"zMixed_Anti-voter","zMixed_Anti-voter","-Impact",1,"Bill Impact",TRUE
406,"Enacted","Enacted","-Stage",2,"Stage",FALSE
407,"Failed","Failed","-Stage",2,"Stage",FALSE
408,"Introduced","Introduced","-Stage",2,"Stage",FALSE
409,"Pssd1stChmbr","Passed 1st Chamber","-Stage",2,"Stage",FALSE
410,"Pssd1stChmbrCmmtt","Passed 1st Chamber Committee","-Stage",2,"Stage",TRUE
411,"Pssd2ndChmbr","Passed 2nd Chamber","-Stage",2,"Stage",FALSE
412,"Pssd2ndChmbrCmmtt","Passed 2nd Chamber Committee","-Stage",2,"Stage",FALSE
604,"Prefiled","Prefiled","-Stage",2,"Stage",FALSE
814,"Vetoed","Vetoed","-Stage",2,"Stage",FALSE
1,"AppContentOrFormat","Absentee > Application > Content or Format","21AbsenteeVtg",3,"Absentee Voting",FALSE
2,"AppDdlnErlr","Absentee > Application > Deadline > Earlier","21AbsenteeVtg",3,"Absentee Voting",FALSE
3,"AppDdlnLtr","Absentee > Application > Deadline > Later","21AbsenteeVtg",3,"Absentee Voting",FALSE
4,"AppRqIDCrtExpnd","Absentee > Application > Requirements - ID or ID Number > Creates or Expands","21AbsenteeVtg",3,"Absentee Voting",FALSE
5,"AppRqIDElmntRlx","Absentee > Application > Requirements - ID or ID Number > Eliminates or Relaxes","21AbsenteeVtg",3,"Absentee Voting",FALSE
6,"AppMailedAutoProhbts","Absentee > Application > Mailed Automatically > Prohibits Auto Mailing","21AbsenteeVtg",3,"Absentee Voting",FALSE
7,"AppMailedAutoAllVtr","Absentee > Application > Mailed Automatically > To All Voters","21AbsenteeVtg",3,"Absentee Voting",FALSE
8,"AppMailedAutoCrtnVtr","Absentee > Application > Mailed Automatically > To Certain Voters","21AbsenteeVtg",3,"Absentee Voting",FALSE
9,"AppRqNtryWtnsCrtExp","Absentee > Application > Requirements - Notary or Witness > Creates or Expands","21AbsenteeVtg",3,"Absentee Voting",FALSE
10,"AppRqNtryWtnsElmRlx","Absentee > Application > Requirements - Notary or Witness > Eliminates or Relaxes","21AbsenteeVtg",3,"Absentee Voting",FALSE
11,"AppOnlnCrtOnlnPrtl","Absentee > Application > Online > Creates - Completed Through Online Portal","21AbsenteeVtg",3,"Absentee Voting",FALSE
12,"AppOnlnCrtPrntOnln","Absentee > Application > Online > Creates - Print and Return Electronically","21AbsenteeVtg",3,"Absentee Voting",FALSE
13,"AppOnlnCrtPrntHrdCpy","Absentee > Application > Online > Creates - Print and Return Hard Copy","21AbsenteeVtg",3,"Absentee Voting",FALSE
14,"AppOnlnOthr","Absentee > Application > Online > Other Change to Online Application","21AbsenteeVtg",3,"Absentee Voting",FALSE
15,"AppRqOthrInfoChng","Absentee > Application > Requirements - Other > Changes","21AbsenteeVtg",3,"Absentee Voting",FALSE
16,"AppRqOthrInfoCrt","Absentee > Application > Requirements - Other > Creates","21AbsenteeVtg",3,"Absentee Voting",FALSE
17,"AppRqOthrInfoElmn","Absentee > Application > Requirements - Other > Eliminates","21AbsenteeVtg",3,"Absentee Voting",FALSE
18,"BlltDlvrInPrsPckpExp","Absentee > Ballot Delivery > In-Person Ballot Pickup > Expands","21AbsenteeVtg",3,"Absentee Voting",FALSE
19,"BlltDlvrInPrsPckpRst","Absentee > Ballot Delivery > In-Person Ballot Pickup > Restricts","21AbsenteeVtg",3,"Absentee Voting",FALSE
22,"BlltDlvrTmlnEarlier","Absentee > Ballot Delivery > TImeline > Earlier","21AbsenteeVtg",3,"Absentee Voting",FALSE
23,"BlltDlvrTmlnLater","Absentee > Ballot Delivery > Timeline > Later","21AbsenteeVtg",3,"Absentee Voting",FALSE
24,"BlltRtrnVrfctnCure","Absentee > Ballot Return, Verification or Cure","21AbsenteeVtg",3,"Absentee Voting",FALSE
25,"ElgblExcsAccptExpnd","Absentee > Eligibility > Excuses Accepted > Expands","21AbsenteeVtg",3,"Absentee Voting",FALSE
26,"ElgblExcsAccptNrrw","Absentee > Eligibility > Excuses Accepted > Narrows","21AbsenteeVtg",3,"Absentee Voting",FALSE
27,"ElgblNoExcsVtngCrts","Absentee > Eligibility > No-Excuse Voting > Creates","21AbsenteeVtg",3,"Absentee Voting",FALSE
28,"ElgblNoExcsVtngElmnt","Absentee > Eligibility > No-Excuse Voting > Eliminates","21AbsenteeVtg",3,"Absentee Voting",FALSE
29,"EmrgVtngFacilitates","Absentee > Emergency Voting > Facilitates","21AbsenteeVtg",3,"Absentee Voting",FALSE
30,"EmrgVtngRestricts","Absentee > Emergency Voting > Restricts","21AbsenteeVtg",3,"Absentee Voting",FALSE
31,"InPrsnWthExcsCrtExpn","Absentee > In-Person With Excuse > Creates or Expands","21AbsenteeVtg",3,"Absentee Voting",FALSE
32,"InPrsnWthExcsElmRstr","Absentee > In-Person With Excuse > Eliminates or Restricts","21AbsenteeVtg",3,"Absentee Voting",FALSE
33,"IncarceratedVoting","Absentee > Incarcerated Voting","21AbsenteeVtg",3,"Absentee Voting",FALSE
34,"Other","Absentee > Other Policy","21AbsenteeVtg",3,"Absentee Voting",FALSE
35,"-Anti-Voter","Absentee > Policy Impact > Restricts Voter Access / Election Administration","21AbsenteeVtg",3,"Absentee Voting",FALSE
37,"-Mixed_Unclear","Absentee > Policy Impact > Mixed or Unclear","21AbsenteeVtg",3,"Absentee Voting",FALSE
38,"-Neutral","Absentee > Policy Impact > Neutral","21AbsenteeVtg",3,"Absentee Voting",FALSE
39,"-Pro-Voter","Absentee > Policy Impact > Improves Voter Access / Election Administration","21AbsenteeVtg",3,"Absentee Voting",FALSE
40,"RplcmntBlltRules","Absentee > Replacement Ballot Rules","21AbsenteeVtg",3,"Absentee Voting",FALSE
41,"RsdntlFacilities","Absentee > Residential Facilities","21AbsenteeVtg",3,"Absentee Voting",FALSE
42,"UOCAVA","Absentee > Uniformed and Overseas Voters (UOCAVA)","21AbsenteeVtg",3,"Absentee Voting",FALSE
43,"VtInPrsAftrBltCrtExp","Absentee > Voting in Person After Requesting Mail Ballot > Creates or Expands","21AbsenteeVtg",3,"Absentee Voting",FALSE
44,"VtInPrsAftrBltElmRst","Absentee > Voting in Person After Requesting Mail Ballot > Eliminates or Restricts","21AbsenteeVtg",3,"Absentee Voting",FALSE
607,"AcsblPhysDisablty","Absentee > Accessibility > Physical or Disability Accessibility","21AbsenteeVtg",3,"Absentee Voting",FALSE
610,"AcsblThrdPrtyAsstnc","Absentee > Accessibility > Third Party Assistance","21AbsenteeVtg",3,"Absentee Voting",FALSE
617,"AcsblLanguage","Absentee > Accessibility > Language Accessibility","21AbsenteeVtg",3,"Absentee Voting",FALSE
667,"App3dPrtyMailDistr","Absentee > Application > Third Party Mailing or Distribution","21AbsenteeVtg",3,"Absentee Voting",FALSE
815,"BlltDlvrOnlnAvlblAll","Absentee > Ballot Delivery > Online Delivery > Available to All Voters","21AbsenteeVtg",3,"Absentee Voting",FALSE
852,"AppApplsToFwrElctns","Absentee > Application > Applies to Fewer Elections","21AbsenteeVtg",3,"Absentee Voting",FALSE
853,"AppApplsToMoreElctns","Absentee > Application > Applies to More Elections","21AbsenteeVtg",3,"Absentee Voting",FALSE
854,"BlltDlvrOnlnAvlblSm","Absentee > Ballot Delivery > Online Delivery > Available to Some Voters","21AbsenteeVtg",3,"Absentee Voting",FALSE
900,"AppRtrnPstgPdByGov","Absentee > Application > Return Postage > Paid by Government","21AbsenteeVtg",3,"Absentee Voting",FALSE
901,"AppRtrnPstgPdByVtr","Absentee > Application > Return Postage > Paid by Voter","21AbsenteeVtg",3,"Absentee Voting",FALSE
934,"AppIDRqrmntElmntRlx","","21AbsenteeVtg",3,"Absentee Voting",TRUE
938,"-Mixed_Pro-Voter","","21AbsenteeVtg",3,"Absentee Voting",TRUE
940,"AppIDRqrmntCrtExpnd","","21AbsenteeVtg",3,"Absentee Voting",TRUE
952,"BlltDlvrThrdPrtyExpn","","21AbsenteeVtg",3,"Absentee Voting",TRUE
963,"AppVtrInfoRqrmntCrt","","21AbsenteeVtg",3,"Absentee Voting",TRUE
979,"-Mixed_Anti-Voter","","21AbsenteeVtg",3,"Absentee Voting",TRUE
980,"AppVtrInfoRqrmntElmn","","21AbsenteeVtg",3,"Absentee Voting",TRUE
982,"AppVtrInfoRqrmntChng","","21AbsenteeVtg",3,"Absentee Voting",TRUE
984,"BlltDlvrThrdPrtyRstr","","21AbsenteeVtg",3,"Absentee Voting",TRUE
1014,"AppNtryWtnsRqrElmRlx","","21AbsenteeVtg",3,"Absentee Voting",TRUE
45,"ChngInfoRqrmnts","AVR > Change to Existing AVR > Information Requirements","21AVR",4,"Automatic Voter Registration",FALSE
46,"ChngOptOutPrcss","AVR > Change to Existing AVR > Opt-Out Process","21AVR",4,"Automatic Voter Registration",FALSE
47,"ChngOptOutTmngErlr","AVR > Change to Existing AVR > Opt-Out Timing > Earlier","21AVR",4,"Automatic Voter Registration",FALSE
48,"ChngOptOutTmngLtr","AVR > Change to Existing AVR > Opt-Out Timing > Later","21AVR",4,"Automatic Voter Registration",FALSE
49,"ChngOther","AVR > Change to Existing AVR > Other Change","21AVR",4,"Automatic Voter Registration",FALSE
50,"ChngPrtcptAgncyAdds","AVR > Change to Existing AVR > Participating Agencies > Adds","21AVR",4,"Automatic Voter Registration",FALSE
51,"ChngPrtcptAgncyRmvs","AVR > Change to Existing AVR > Participating Agencies > Removes","21AVR",4,"Automatic Voter Registration",FALSE
52,"ChngREALIDCtznshpPrf","AVR > Change to Existing AVR > REAL ID or Citizenship Documentation Requirements","21AVR",4,"Automatic Voter Registration",FALSE
53,"CrtAvlblDMV","AVR > Creates AVR > Availability  > DMV","21AVR",4,"Automatic Voter Registration",FALSE
54,"CrtAvlblOthrGovAgncy","AVR > Creates AVR > Availability  > Other Government Agencies","21AVR",4,"Automatic Voter Registration",FALSE
55,"CrtOptOutTmngAftrTrn","AVR > Creates AVR > Opt-Out Timing > By Notification After Transaction","21AVR",4,"Automatic Voter Registration",FALSE
56,"CrtOptOutTmngDrngTrn","AVR > Creates AVR > Opt-Out Timing > During Agency Transaction","21AVR",4,"Automatic Voter Registration",FALSE
57,"CrtREALIDCtznshpPrf","AVR > Creates AVR > REAL ID or Citizenship Documentation Requirements","21AVR",4,"Automatic Voter Registration",FALSE
58,"CrtAVR","AVR > Creates AVR","21AVR",4,"Automatic Voter Registration",FALSE
59,"EliminatesAVR","AVR > Eliminates AVR","21AVR",4,"Automatic Voter Registration",FALSE
60,"-Anti-Voter","AVR > Policy Impact > Restricts Voter Access / Election Administration","21AVR",4,"Automatic Voter Registration",FALSE
62,"-Mixed_Unclear","AVR > Policy Impact > Mixed or Unclear","21AVR",4,"Automatic Voter Registration",FALSE
63,"-Neutral","AVR > Policy Impact > Neutral","21AVR",4,"Automatic Voter Registration",FALSE
64,"-Pro-Voter","AVR > Policy Impact > Improves Voter Access / Election Administration","21AVR",4,"Automatic Voter Registration",FALSE
1010,"-Mixed_Pro-Voter","","21AVR",4,"Automatic Voter Registration",TRUE
1023,"ChngREALIDOnly","","21AVR",4,"Automatic Voter Registration",TRUE
65,"ApplcbltyAbsntVtng","Ballot Return, Verification, and Cure > Applicability > Applies to Absentee Voting","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
66,"ApplcbltyVBMElctn","Ballot Return, Verification, and Cure > Applicability > Applies to VBM Elections","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
67,"BlltRtrnDdlnEarlier","Ballot Return, Verification, and Cure > Ballot Return > Deadline > Earlier","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
68,"BlltRtrnDdlnLater","Ballot Return, Verification, and Cure > Ballot Return > Deadline > Later","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
69,"BlltRtrnDOLAvlExpnd","Ballot Return, Verification, and Cure > Ballot Return > Drop-Off Locations > Availability - Expands","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
70,"BlltRtrnDOLAvlRstrct","Ballot Return, Verification, and Cure > Ballot Return > Drop-Off Locations > Availability - Restricts","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
71,"BlltRtrnDOLDysHrsOps","Ballot Return, Verification, and Cure > Ballot Return > Drop-Off Locations > Days or Hours of Operation","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
72,"BlltRtrnDOLDrpBxScty","Ballot Return, Verification, and Cure > Ballot Return > Drop-Off Locations > Drop Box Security","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
73,"BlltRtrnDOLLctnRqrmt","Ballot Return, Verification, and Cure > Ballot Return > Drop-Off Locations > Location Requirements","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
74,"BlltRtrnDOLNmbrRqrmt","Ballot Return, Verification, and Cure > Ballot Return > Drop-Off Locations > Number Requirements","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
75,"BlltRtrnDOLUnofDrpBx","Ballot Return, Verification, and Cure > Ballot Return > Drop-Off Locations > Unofficial Drop Boxes","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
76,"BlltRtrnInPrsnIDRqrs","Ballot Return, Verification, and Cure > Ballot Return > In-Person Return > ID Requirements","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
77,"BlltRtrnPstgPdByGov","Ballot Return, Verification, and Cure > Ballot Return > Postage > Paid by Government","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
78,"BlltRtrnPstgPdByVtr","Ballot Return, Verification, and Cure > Ballot Return > Postage > Paid by Voter","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
79,"BlltRtrnThrdPrtyExpd","Ballot Return, Verification, and Cure > Ballot Return > Third-Party Return > Expands","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
80,"BlltRtrnThrdPrtyRstr","Ballot Return, Verification, and Cure > Ballot Return > Third-Party Return > Restricts","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
81,"BlltTrckngCrtsExpnds","Ballot Return, Verification, and Cure > Ballot Tracking > Creates or Expands","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
82,"BlltTrckngElmntRstrt","Ballot Return, Verification, and Cure > Ballot Tracking > Eliminates or Restricts","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
83,"IncarceratedVoting","Ballot Return, Verification, and Cure > Incarcerated Voting","21BlltRtrnVfctnCure",5,"Ballot Return, Verification, and Cure",FALSE
